"Timestamp","Your Name","Class","Index Number","I am excited about the skills I learnt during CS","I feel confident in my technical skills","I know how to work through problems when I get stumped","Learning about technology is exciting","I wish I had more opportunities to learn technical skill","I would like to own a Microbit set for my own learning","I would consider using Microbit for my future school projects ","What was your favourite part of the course?","What was your least favourite part of the course?","What could be improved?","I am interested to sign up for Computer Elective Programme (Year 2 - Year 4)"
"43179.35900940972","Hidden","1B","Hidden","5.0","4.0","4.0","4.0","5.0","4.0","Maybe","shooting game","intro","how fun the games created are","Maybe"
"43179.35933344907","Hidden","1B","Hidden","5.0","4.0","5.0","5.0","5.0","4.0","Yes","Learning about the shooting game","The end","nothing","Maybe"
"43179.35940311343","Hidden","1A","Hidden","5.0","4.0","4.0","5.0","5.0","5.0","Yes","Everything","NIL","Longer Duration","Yes"
"43179.35953519676","Hidden","1B","Hidden","3.0","3.0","1.0","1.0","1.0","1.0","Maybe","Learning how to use the game block.","Coding with loops","Lessons could be more structured.","No"
"43179.36024883101","Hidden","1B","Hidden","2.0","2.0","3.0","2.0","2.0","2.0","Maybe","The games! :PPP","the confusing parts :((((","More interesting activities should be conducted. :?","Maybe"
"43179.36058168982","Hidden","1B","Hidden","4.0","4.0","3.0","4.0","4.0","2.0","Maybe","Everything.","Nothing","NOTHING","Maybe"
"43179.36108863426","Hidden","1B","Hidden","5.0","4.0","4.0","5.0","5.0","5.0","Yes","Programming","NIL","Everything is excellent 
for the below qn, I can't sign up because I have CSP and my parents want me to continue with it.","No"
"43179.361566747684","Hidden","1A","Hidden","5.0","4.0","3.0","4.0","5.0","5.0","Maybe","The coding","Not much","NIL","Maybe"
"43179.36235915509","Hidden","1B","Hidden","4.0","5.0","3.0","5.0","5.0","3.0","Maybe","The use of the microbit to play the game I created.","Nil","We can do more practises.","No"
"43179.36252221065","Hidden","1B","Hidden","5.0","4.0","4.0","5.0","5.0","5.0","Yes","The project ","Watching people get scolded ","Nil ","Yes"
"43179.36256334491","Hidden","1B","Hidden","5.0","5.0","3.0","5.0","5.0","5.0","Yes","trying to code the microbit","Nil","more practices.","Maybe"
"43179.36274251157","Hidden","1A","Hidden","5.0","5.0","5.0","5.0","5.0","5.0","Yes","Programming the microbit","Programming the microbit","More accessories to build on the microbit.","Yes"
"43179.36283709491","Hidden","1A","Hidden","4.0","4.0","4.0","4.0","4.0","5.0","Maybe","the prentation","nil","more descriptions when teaching us the codes","Maybe"
"43179.362962280095","Hidden","1A","Hidden","5.0","4.0","4.0","5.0","5.0","5.0","Yes","Programming the shooting game","Finding out what went wrong in Microbit projects","More variety of games","Yes"
"43179.363175300925","Hidden","1A","Hidden","4.0","3.0","3.0","5.0","4.0","5.0","Maybe","Our projects","A really hard lesson","We can use our time better","Maybe"
"43179.363750578705","Hidden","1A","Hidden","4.0","3.0","3.0","3.0","3.0","3.0","Maybe","When we were working on projects.","When I could not do the project.","The project.","Maybe"
"43179.365264837965","Hidden","1A","Hidden","5.0","4.0","4.0","5.0","5.0","4.0","Yes","The creation of the flappy bird code","idk","Longer period of time of the CS","Yes"
"43179.3667658912","Hidden","1A","Hidden","2.0","5.0","5.0","2.0","3.0","5.0","Maybe","The computer","Min Jie","The computer size.","No"
"43180.333442372685","Hidden","1K","Hidden","5.0","4.0","4.0","5.0","5.0","5.0","Maybe","Programming","NIL","NIL","Maybe"
"43180.33397787037","Hidden","1L","Hidden","4.0","3.0","4.0","5.0","5.0","3.0","Maybe","Coding and decryption (Radio)","Nil","They should extend the time length of CS","Yes"
"43180.334614074076","Hidden","1L","Hidden","4.0","3.0","3.0","4.0","4.0","4.0","Maybe","Probably everything","Probably nothing","Quite ok liao lah","Maybe"
"43180.33469013889","Hidden","1L","Hidden","4.0","3.0","4.0","5.0","4.0","5.0","Maybe","NIL","NIL","NIL","Maybe"
"43180.33472021991","Hidden","1L","Hidden","3.0","3.0","3.0","3.0","3.0","3.0","Maybe","The project","NIL","NIL","Maybe"
"43180.334813379624","Hidden","1L","Hidden","4.0","4.0","3.0","4.0","4.0","4.0","Maybe","Learning new techinal skills","N.A","N.A","Maybe"
"43180.33493045139","Hidden","1L","Hidden","2.0","4.0","5.0","2.0","1.0","1.0","Maybe","Using the computer","Making the codes","Make it more interesting, use other tools etc.","No"
"43180.335025196764","Hidden","1K","Hidden","4.0","4.0","4.0","4.0","5.0","5.0","Maybe","Individual project","None","Receive the addons earlier","Maybe"
"43180.3351072338","Hidden","1K","Hidden","5.0","4.0","4.0","5.0","4.0","5.0","Maybe","Learning about different aspects of programming","NIL","Lesson time could be longer :)","Maybe"
"43180.3351650463","Hidden","1K","Hidden","4.0","3.0","3.0","4.0","4.0","4.0","Maybe","Learning how to code new games.","The summative project.","Give us a free microbit so we can practise at home.","No"
"43180.33532070601","Hidden","1L","Hidden","5.0","3.0","4.0","5.0","5.0","4.0","Maybe","The Project","None","nothing","Maybe"
"43180.33534099537","Hidden","1L","Hidden","5.0","4.0","4.0","4.0","3.0","3.0","Maybe","The decoding lesson","nil","Maybe there could be more sections in the 'advanced' tab covered (they look interesting)","Maybe"
"43180.3354784375","Hidden","1L","Hidden","5.0","5.0","5.0","5.0","5.0","5.0","Yes","getting to know how to code complicated codes","not sure","duration longer","Yes"
"43180.33556277778","Hidden","1L","Hidden","4.0","1.0","2.0","4.0","4.0","4.0","Maybe","Experimenting with the codes.","Making a code from scratch when I have no idea how to do it.","Explanation of the why the codes work.","No"
"43180.33559646991","Hidden","1K","Hidden","4.0","4.0","5.0","5.0","5.0","3.0","Maybe","Trying to learn to write Javascript through the blocks system","NIL","Maybe a separate streaming for those that have knowledge in programming so as to allow them to cover a greater depth (not just Javascript blocks, but maybe directly using Javascript for them)","Yes"
"43180.3357741088","Hidden","1L","Hidden","4.0","5.0","5.0","5.0","5.0","2.0","Maybe","My favourite part of the course was doing the caesar decoder as it was quite challenging and made me think about my code.","Nil.","We could learn more about the advanced tab such as the control tab.","Yes"
"43180.33579201389","Hidden","1K","Hidden","5.0","4.0","4.0","5.0","5.0","4.0","Yes","Making games","Doing the summative","The number of lessons","Maybe"
"43180.33617163195","Hidden","1K","Hidden","5.0","5.0","5.0","5.0","5.0","5.0","Yes","Learning how to make games on microbit","nil","Learn more stuff (e.g. functions, LED, control, Pins)","Yes"
"43180.33642403936","Hidden","1L","Hidden","4.0","3.0","3.0","4.0","4.0","4.0","Yes","the programming","nil-","nil-","Maybe"
"43180.336677245374","Hidden","1L","Hidden","5.0","4.0","4.0","5.0","4.0","3.0","Maybe","Learning how to program games using microbit","nil","increase the number of weeks for computer studies","Maybe"
"43180.33670694444","Hidden","1K","Hidden","4.0","4.0","4.0","5.0","4.0","5.0","Maybe","I enjoy making games, such as flappy bird throughout the course. I also enjoy the  process of learning different functions, such as array, something I did not learn in Scratch.","NIL","I feel that they can teach us more on JavaScript instead of just block coding, as a number of us has prior knowledge to block coding, thus I feel that maybe they can teach us more on JavaScript","Yes"
"43180.337148287035","Hidden","1K","Hidden","3.0","2.0","3.0","2.0","2.0","2.0","Maybe","Learning about making games","Arrays","N/A","No"
"43185.37035917824","Hidden","1H","Hidden","2.0","4.0","4.0","4.0","4.0","1.0","No","The project making","the lesson on for loops and arrays ","Stop learning microbit and do C++","Maybe"
"43185.37055288194","Hidden","1G","Hidden","3.0","4.0","3.0","4.0","3.0","2.0","No","Making games.","Microbit too small.","Use of microbit.","No"
"43185.37064554398","Hidden","1G","Hidden","5.0","5.0","5.0","5.0","5.0","5.0","Yes","making the games","nil","everyone gets their own microbit","No"
"43185.37097935185","Hidden","1H","Hidden","4.0","3.0","3.0","4.0","4.0","4.0","Yes","The microbit assignment at the end of the module","Ceaser cipher","nil","Maybe"
"43185.3710315625","Hidden","1H","Hidden","4.0","3.0","4.0","5.0","5.0","5.0","Maybe","Creation of the games","-Nil-","-Nil-","No"
"43185.37124033565","Hidden","1H","Hidden","5.0","5.0","4.0","5.0","5.0","5.0","Maybe","When i was working on the final microbit project","none.","its perfect
","Maybe"
"43185.37134165509","Hidden","1G","Hidden","3.0","3.0","5.0","4.0","4.0","4.0","Maybe","-","-","-","Maybe"
"43185.37164430556","Hidden","1G","Hidden","4.0","3.0","2.0","4.0","4.0","4.0","Maybe","The challenges the teacher assigned.","The part where the students have to present their work.","Let the students present less.","Maybe"
"43185.37170712963","Hidden","1H","Hidden","5.0","4.0","4.0","5.0","4.0","5.0","Maybe","making a game
","nil","nil","Maybe"
"43185.371777175926","Hidden","1G","Hidden","3.0","2.0","3.0","3.0","3.0","2.0","Maybe","making games","Programmes are too complicated","go through programmes more carefully","Maybe"
"43185.3720521875","Hidden","1G","Hidden","4.0","3.0","3.0","4.0","5.0","4.0","Maybe","The microbit tryouts","The complicated coding","The increase of microbit using","Maybe"
"43185.37232916667","Hidden","1H","Hidden","1.0","1.0","5.0","1.0","5.0","3.0","No","the part where it ended","all of it","i want to learn using blockly because i can actually get stuff done with it","Maybe"
"43185.37298746528","Hidden","1G","Hidden","4.0","2.0","4.0","4.0","5.0","4.0","Maybe","Being able to learn how to successfully program a microbit gives a sense of accomplishment.","Being slightly confused about new functions.","More freedom in allowing us to program what we want.","No"
"43185.373097800926","Hidden","1H","Hidden","4.0","3.0","4.0","5.0","4.0","4.0","Yes","learning about different coding blocks","NA","more hands-on","Yes, But I have Third Lang or other electives"
"43185.37333652777","Hidden","1H","Hidden","4.0","4.0","4.0","5.0","4.0","4.0","Yes","The assignment","N:A","More hands on activies","Maybe"
"43185.3737715162","Hidden","1H","Hidden","4.0","3.0","4.0","4.0","4.0","3.0","Maybe","The Individual Microbit Project","Learning about Arrays","The other sections in microbit could also be taught","No"
"43185.37402400463","Hidden","1H","Hidden","4.0","3.0","3.0","4.0","3.0","2.0","Yes","Variables","Arrays","More hands-on activities.","Yes, But I have Third Lang or other electives"
"43185.37454696759","Hidden","1H","Hidden","4.0","5.0","4.0","4.0","5.0","2.0","No","Programming","Finding blocks","Dont use microbit ","Yes"
"43185.37462984954","Hidden","1H","Hidden","3.0","1.0","5.0","5.0","3.0","4.0","Yes","The project","Making arrays","maybe using some other type of online programming software like Scratch","Maybe"
"43185.375052372685","Hidden","1G","Hidden","4.0","2.0","4.0","5.0","4.0","5.0","Yes","Creating the bullet game for the assignment (summative)","When I met a problem and could not correct it.","I hope that we could get to use more interesting gadgets like the MicroBit.","Yes, But I have Third Lang or other electives"
"43185.37516053241","Hidden","1G","Hidden","5.0","5.0","5.0","5.0","5.0","5.0","Yes","making games","nil","everyone gets a free microbit
for the below qs: i want to yet i have another elective","Yes, But I have Third Lang or other electives"
"43185.375741400465","Hidden","1H","Hidden","3.0","1.0","2.0","2.0","5.0","3.0","No","ceaser cypher","the last test","discipline over class","No"
"43185.37589480324","Hidden","1G","Hidden","5.0","4.0","4.0","5.0","4.0","5.0","Yes","getting to code ","it is a little bit confounding","increased time for doing coding","Yes, But I have Third Lang or other electives"
"43185.376090624995","Hidden","1H","Hidden","3.0","4.0","4.0","4.0","4.0","3.0","Maybe","Loops and Logic","Radio signals","Please introduce us to more of the blocks that we are more likely not to understand.","Maybe"
"43185.38128400463","Hidden","1H","Hidden","4.0","1.0","2.0","5.0","3.0","1.0","Maybe","When we were allowed to use the computers","when we had to do a project ","The fact that this is a course and not enrichment","Maybe"
"43185.43836236111","Hidden","1C","Hidden","5.0","4.0","4.0","5.0","5.0","4.0","Yes","The programming and trial and error part of the coding that was fun and exciting.","NIL :^)","It is very good and I think it is great at how it is now.","Yes, But I have Third Lang or other electives"
"43185.43917182871","Hidden","1C","Hidden","5.0","1.0","3.0","5.0","1.0","1.0","Maybe","Everything","NIL","NIL","No"
"43185.43929013889","Hidden","1D","Hidden","5.0","4.0","5.0","5.0","5.0","5.0","Yes","when we learnt the game for fighting and shooting aliens ","when the teacher was scolding and we wasted a lot of time","instilling more discipline in the class ","Yes"
"43185.43956434028","Hidden","1D","Hidden","3.0","2.0","2.0","4.0","4.0","4.0","Maybe","The individual assignment","Remebring everything","Slow down the speed","Yes, But I have Third Lang or other electives"
"43185.43979930556","Hidden","1D","Hidden","4.0","4.0","4.0","5.0","4.0","5.0","Yes","I like building games","The array lesson","The amount of time we have to explore the various functions of the microbit code.","Maybe"
"43185.439898530094","Hidden","1D","Hidden","4.0","4.0","3.0","4.0","4.0","5.0","Maybe","na","na","na","Maybe"
"43185.43991752315","Hidden","1D","Hidden","5.0","4.0","4.0","5.0","4.0","5.0","Yes","It was fun and enjoyable, the activities we did with the micro-bit was very interactive and fun.","nothing","Maybe we get to learn more about the tinkers kit","Yes"
"43185.43993298611","Hidden","1C","Hidden","5.0","3.0","3.0","5.0","5.0","5.0","Yes","Programming games on the Microbit","NIL I enjoyed everything about CS","NIL It is already great.","Yes"
"43185.44062145833","Hidden","1C","Hidden","4.0","3.0","4.0","4.0","4.0","3.0","Yes","When we tried to decode a message.","Listening to the explanations.","Give us a Microbit","Maybe"
"43185.44085109954","Hidden","1C","Hidden","3.0","2.0","1.0","2.0","3.0","4.0","Maybe","THE PART WHEN WE START PROGRAMMING","THE BRIEFING PART","NOTHING","Maybe"
"43185.44203907407","Hidden","1D","Hidden","5.0","4.0","4.0","5.0","4.0","3.0","Maybe","Making fun programs with microbit.","Doing project.","Nothing","Maybe"
"43185.44206564815","Hidden","1D","Hidden","3.0","3.0","2.0","4.0","3.0","3.0","Maybe","Posting a YouTube video","Using a real microbit","We could use a Raspberry Pi instead of a microbit as it is more powerful","Maybe"
"43185.44211704861","Hidden","1C","Hidden","3.0","3.0","4.0","4.0","3.0","4.0","Yes","Caesar Cipher","Flappy Bird","The Programme(what we do)","No"
"43185.44218115741","Hidden","1D","Hidden","3.0","3.0","3.0","3.0","3.0","3.0","Maybe","Getting to programme.","Start programming with Blocks instead of starting with Python. I mean, I feel that Blocks is too complex, should start with Python. Although need to type more code, but I'll get a better understanding of the whole thing.","Begin programming in Python rather than the complexity of Blocks.","Yes, But I have Third Lang or other electives"
"43185.442267210645","Hidden","1c","Hidden","3.0","4.0","4.0","5.0","3.0","3.0","Maybe","making a game","flappy bird","what we do","Maybe"
"43185.442390682874","Hidden","1D","Hidden","4.0","3.0","3.0","4.0","4.0","5.0","Maybe","Creating the Flappy Bird Game","NIL","NIL","Maybe"
"43185.44256221065","Hidden","1D","Hidden","5.0","1.0","5.0","5.0","5.0","5.0","Maybe","getting points","summative","nothing","Yes, But I have Third Lang or other electives"
"43185.443452638894","Hidden","1C","Hidden","5.0","4.0","4.0","4.0","5.0","3.0","Yes","
   Learning how to programme games","doing homework","pay more attention by talking less","Yes, But I have Third Lang or other electives"
"43185.44496047454","Hidden","1C","Hidden","4.0","3.0","4.0","5.0","4.0","3.0","Maybe","The summative when creating your own game or code","Learning about arrays","The glitch in the microbit","Maybe"
"43185.57157236111","Hidden","1F","Hidden","5.0","4.0","3.0","5.0","3.0","3.0","Maybe","The fun activities.","NIL","The number of weeks in the course. Lengthen it please","Maybe"
"43185.572114849536","Hidden","1F","Hidden","5.0","4.0","3.0","5.0","5.0","5.0","Maybe","programming","the arrays","maybe we could have more equipment to use with the micro bit","Yes, But I have Third Lang or other electives"
"43185.57273237269","Hidden","1F","Hidden","4.0","2.0","5.0","4.0","4.0","1.0","Maybe","Lessons","Project","More time for projects  & lower targets.","No"
"43185.57273724537","Hidden","1E","Hidden","3.0","2.0","3.0","4.0","4.0","3.0","Maybe","Making the code for the game","Arrays are quite complicated","More time for lessons","No"
"43185.57282756944","Hidden","1E","Hidden","4.0","3.0","3.0","4.0","4.0","3.0","Maybe","Programming the shooting game","The individual microbit project","Can teach slower so that we can understand the codes ","No"
"43185.57294543981","Hidden","1F","Hidden","5.0","5.0","5.0","5.0","4.0","5.0","Yes","Learning about microbits","doing the summative project","more time for projects","Maybe"
"43185.572965949075","Hidden","1E","Hidden","3.0","3.0","3.0","3.0","3.0","4.0","Yes","The find the boat thing","the arrays part","Let us play with the microbit longer","No"
"43185.57297199074","Hidden","1E","Hidden","5.0","3.0","3.0","5.0","5.0","5.0","Yes","Trying my hands on coding the microbit!","When I am learning about arrays. They are so difficult!","My understanding of arrays and my attentiveness in class.","Yes, But I have Third Lang or other electives"
"43185.57307900463","Hidden","1F","Hidden","5.0","5.0","5.0","5.0","5.0","5.0","Maybe","bonus raw marks for homework","Understanding Coding","should be easier to understand","Yes, But I have Third Lang or other electives"
"43185.57325693287","Hidden","1F","Hidden","4.0","4.0","5.0","5.0","5.0","5.0","Yes","The part where we had to decipher the code","Bonus questions- i do not know how to do them","more CS lessons","Yes, But I have Third Lang or other electives"
"43185.5733877662","Hidden","1f","Hidden","4.0","3.0","2.0","4.0","5.0","3.0","Maybe","Learning to code","Not knowing how to code a programme","Teach us the specific functions of each funtion","Yes, But I have Third Lang or other electives"
"43185.573578553245","Hidden","1F","Hidden","5.0","4.0","4.0","5.0","5.0","5.0","Maybe","learning microbit","NIL","More games with microbit","Maybe"
"43185.57561946759","Hidden","1F","Hidden","5.0","4.0","4.0","5.0","5.0","5.0","Maybe","the teacher","making the games","more games but easier","Maybe"
"43185.57662086806","Hidden","1e","Hidden","4.0","4.0","4.0","5.0","5.0","5.0","Maybe","nill","the first few lessons cos i already learnt them","do typing programming instead of blocks","Maybe"
"43185.57662921296","Hidden","1E","Hidden","3.0","3.0","3.0","5.0","3.0","3.0","Maybe","the part when we can watch utube","the part when we had to stand up","the time we can use utube","Maybe"
"43185.82533207176","Hidden","1C","Hidden","3.0","3.0","3.0","5.0","5.0","5.0","Maybe","The video","The project ","Place in small groups for the project","Yes"
"43188.476872326384","Hidden","1I","Hidden","3.0","2.0","2.0","2.0","3.0","5.0","Maybe","Playing Games","The Project","Include more fun games","No"
